id,price_doc
30474,5385845.628536246
30475,8878737.457972987
30476,4968536.638642897
30477,6571565.130207315
30478,5464904.12395165
30479,9041035.868887957
30480,4534449.749837046
30481,4274278.006892434
30482,4491008.321206038
30483,5210683.2071052315
30484,6573997.137823354
30485,5442632.026800804
30486,4160941.525619408
30487,4512014.024886534
30488,6704203.922765916
30489,6142382.95079879
30490,25018314.05338094
30491,18119425.042855807
30492,5792414.99153626
30493,13800816.00070954
30494,7607046.03588566
30495,9764196.047652492
30496,8077514.87683017
30497,8308448.023033938
30498,4568484.972174164
30499,7669955.140694865
30500,12302029.07602414
30501,7008752.676046868
30502,3228322.2307591946
30503,5941321.084222281
30504,5768631.883875636
30505,11021019.211349655
30506,3022775.4263297413
30507,5155375.507124455
30508,5418035.621515901
30509,6747556.977652925
30510,9236469.07080559
30511,6043655.169191123
30512,5946688.601323088
30513,4524267.4002341395
30514,3713678.858975384
30515,9447160.055025356
30516,6220731.2620662255
30517,10389821.415409537
30518,7816086.159325934
30519,4400367.037436181
30520,7405103.3501984505
30521,5363645.587218432
30522,7499784.306411784
30523,6054550.573794318
30524,9550337.372713368
30525,9703528.716010045
30526,5228717.975734357
30527,4768767.731997644
30528,6504133.46372138
30529,6441354.66389424
30530,6483422.325379426
30531,15499529.128761884
30532,5158421.971437347
30533,9960033.652179243
30534,7642082.687377186
30535,9352973.077041471
30536,5672397.17958715
30537,10528057.688701179
30538,4662600.683947468
30539,8779761.07827465
30540,9490644.972849753
30541,5553397.949206593
30542,2192488.8299872708
30543,5443712.360726955
30544,6501281.403187547
30545,7605198.164384128
30546,4149376.779886397
30547,10356969.469802614
30548,4748866.531527848
30549,5643847.049945705
30550,11297577.971017502
30551,5416175.27616761
30552,2006351.5219464197
30553,6861539.934904256
30554,8809910.458940472
30555,6280840.098055916
30556,8391235.929033343
30557,7336386.442007365
30558,9209880.695734145
30559,5528482.03299464
30560,5440492.047346573
30561,6755270.003631256
30562,12265470.070981964
30563,4410382.587066524
30564,7399057.516437555
30565,6913103.588262068
30566,6949251.611161074
30567,2153032.08066471
30568,7948808.509915515
